episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
2,165,166,11.759269952774048,1,32697.0,32697.0,1.0,0.816240730047226
2,166,167,13.027678728103638,1,32878.0,32878.0,1.0,0.7109723212718964
2,167,168,0.0,0,33006.0,33006.0,1.0,0.512
3,0,1,0.0,0,144.0,144.0,1.0,0.576
3,1,2,0.0,0,299.0,299.0,1.0,0.62
3,2,3,0.0,0,432.0,432.0,1.0,0.532
3,3,4,0.0,0,558.0,558.0,1.0,0.504
3,4,5,0.0,0,690.0,690.0,1.0,0.528
3,5,6,0.0,0,816.0,816.0,1.0,0.504
3,6,7,0.0,0,969.0,969.0,1.0,0.612
3,7,8,0.0,0,1150.0,1150.0,1.0,0.724
3,8,9,0.0,0,1414.0,1414.0,1.0,1.056
3,9,10,0.0,0,1619.0,1619.0,1.0,0.82
3,10,11,56.08874225616455,6,1816.0,1816.0,1.0,0.7319112577438355
3,11,12,0.0,0,2001.0,2001.0,1.0,0.74
3,12,13,0.0,0,2223.0,2223.0,1.0,0.888
3,13,14,0.0,0,2422.0,2422.0,1.0,0.796
3,14,15,18.51351833343506,2,2615.0,2615.0,1.0,0.753486481666565
3,15,16,0.0,0,2834.0,2834.0,1.0,0.876
3,16,17,0.0,0,3069.0,3069.0,1.0,0.94
3,17,18,4.058367729187012,1,3353.0,3353.0,1.0,1.131941632270813
3,18,19,19.471895217895508,2,3636.0,3636.0,1.0,1.1125281047821045
3,19,20,28.990079879760742,2,3855.0,3855.0,1.0,0.8470099201202392
3,20,21,0.0,0,4041.0,4041.0,1.0,0.744
3,21,22,4.910961627960205,1,4231.0,4231.0,1.0,0.7550890383720398
3,22,23,12.913930654525757,2,4424.0,4424.0,1.0,0.7590860693454743
3,23,24,0.0,0,4574.0,4574.0,1.0,0.6
3,24,25,12.457692623138428,1,4718.0,4718.0,1.0,0.5635423073768616
3,25,26,0.0,0,4848.0,4848.0,1.0,0.52
3,26,27,0.0,0,4977.0,4977.0,1.0,0.516
3,27,28,18.253695249557495,2,5104.0,5104.0,1.0,0.4897463047504425
3,28,29,0.0,0,5215.0,5215.0,1.0,0.444
3,29,30,0.0,0,5356.0,5356.0,1.0,0.564
3,30,31,0.0,0,5485.0,5485.0,1.0,0.516
3,31,32,0.0,0,5706.0,5706.0,1.0,0.884
3,32,33,0.0,0,5964.0,5964.0,1.0,1.032
3,33,34,17.566627502441406,2,6159.0,6159.0,1.0,0.7624333724975586
3,34,35,0.0,0,6353.0,6353.0,1.0,0.776
3,35,36,37.14544725418091,2,6559.0,6559.0,1.0,0.7868545527458191
3,36,37,32.548766136169434,3,6784.0,6784.0,1.0,0.8674512338638306
3,37,38,25.394692420959473,2,7024.0,7024.0,1.0,0.9346053075790405
3,38,39,11.219966888427734,1,7234.0,7234.0,1.0,0.8287800331115722
3,39,40,11.714702844619751,1,7442.0,7442.0,1.0,0.8202852971553802
3,40,41,16.992820739746094,1,7663.0,7663.0,1.0,0.867007179260254
3,41,42,0.0,0,7951.0,7951.0,1.0,1.152
3,42,43,38.562652587890625,2,8243.0,8243.0,1.0,1.1294373474121093
3,43,44,31.74269199371338,2,8481.0,8481.0,1.0,0.9202573080062866
3,44,45,16.074557304382324,2,8685.0,8685.0,1.0,0.7999254426956177
3,45,46,32.53734230995178,2,8883.0,8883.0,1.0,0.7594626576900482
3,46,47,8.11172103881836,1,9093.0,9093.0,1.0,0.8318882789611817
3,47,48,20.83917260169983,2,9255.0,9255.0,1.0,0.6271608273983001
3,48,49,0.0,0,9399.0,9399.0,1.0,0.576
3,49,50,16.190752029418945,1,9550.0,9550.0,1.0,0.5878092479705811
3,50,51,11.905401229858398,1,9681.0,9681.0,1.0,0.5120945987701416
3,51,52,0.0,0,9822.0,9822.0,1.0,0.564
3,52,53,22.214801788330078,2,9974.0,9974.0,1.0,0.58578519821167
3,53,54,0.0,0,10111.0,10111.0,1.0,0.548
3,54,55,0.0,0,10264.0,10264.0,1.0,0.612
3,55,56,16.86592674255371,1,10483.0,10483.0,1.0,0.8591340732574463
